No,Broadcast Date,Bot Name,Nama,Phone,Gender,Status Call,Duration,Label,Payment Method,Payment Date,Transkrip URL
1,4/11/2022 11:30,,Lorem,8111111111,Female,-,0:00:00,Cant Connect,,,
2,4/11/2022 16:00,,Ipsum,8111111111,Male,Failed Ring Timeout,0:00:58,Cant Connect,,,url
3,4/11/2022 11:30,,Dolor,8111111111,Female,-,0:00:00,Cant Connect,,,
4,4/11/2022 16:00,,Sit,8111111111,Male,Failed Ring Timeout,0:00:18,Cant Connect,,,url
5,4/11/2022 16:00,,Amet,8111111111,Female,Answered,0:00:52,None,,,url
6,5/9/2022 8:15,,Neque ,8111111111,Male,Failed Hung Up,0:00:00,Cant Connect,,,
7,5/9/2022 10:05,,porro ,8111111111,Female,Answered,0:00:49,None,,,url
8,5/9/2022 10:05,,quisquam ,8111111111,Male,Failed Hung Up,0:00:00,Cant Connect,,,
9,5/9/2022 14:45,,qui ,8111111111,Female,Failed Congestion,0:00:00,Cant Connect,,,
10,5/9/2022 8:15,,adipisci ,8111111111,Male,Answered,0:00:19,None,,,url
